ID	Stack Overflow	Project	Category	Iteraction	Title	Description	ProcessActivity	Project Tags	Task Tags	Title Translation	Description Translation	Stack_Translated_Title	Stack_Tags	Title and Tags
19506	25636091	PTVV	NP - Corretiva de Produção	#115 - 2.10.14 - DTC Pós Prazo	[2.10.13.1] [Recepção] [Cheio] Sistema não registra ocorrência de envio de email ao criar pedido	"Ao criar um pedido recepção cheio o sistema envia email com PDF mas não registra ocorrência do envio. Basta criar um pedido recepção cheio sem IMO e sem VGM, colocar horário e finalizar."	Error	sybase; oracle; jenkins; hibernate; java; seam; jsf; jsf-1.2; richfaces; jpa; poi; jasperreport	detachedEntity	System does not record email sending occurrence when creating order	"When creating a request full reception the system sends email with PDF but does not record occurrence of the sending. Just create a full reception request without IMO and without VGM, set time and end."	No Results	No Results	No Results
18984	25996758	PTVV		#113 - Evolutivas DTC	[2.10.2] Erro ao subir aplicação em homol após inclusão do campo listaEmailNFSe		Error	sybase; oracle; jenkins; hibernate; java; seam; jsf; jsf-1.2; richfaces; jpa; poi; jasperreport	LazyInitializationException	Error uploading test application after inclusion of list fieldEmailNFSe		No Results	No Results	No Results
18619	29174164	PTVV		#113 - Evolutivas DTC	[2.10.2] Evolutiva 39 - Inclusão de combo no campo E-mail envio NFS-e	Possibilitar informar mais de um e-mail no campo E-mail envio NFS-e ao criar pedido de retirada de DTC. Sugestão de inclusão de combo selecionável com os e-mails cadastradados nos registros da empresa.	Implement Code	sybase; oracle; jenkins; hibernate; java; seam; jsf; jsf-1.2; richfaces; jpa; poi; jasperreport	combo; multi-selection	Inclusion of combo in the field E-mail sending NFS-e	Make it possible to enter more than one e-mail in the E-mail NFS-e field when creating a DTC withdrawal request. Suggestion of including a selectable combo with the e-mails registered in the company records.	No Results	No Results	No Results
16565	29174164	PTVV	ERRO	#107 - Branch 2.10.6	[2.10.6] [CRUD EMPRESA] Combo Tipo E-mail√ä	A combo de tipo de e-mail não está funcionando no Internet Explorer (vide anexo)	Implement Code	sybase; oracle; jenkins; hibernate; java; seam; jsf; jsf-1.2; richfaces; jpa; poi; jasperreport	combo; multi-selection	Combo Type E-mail	The email type combo is not working in Internet Explorer (see attachment)	19 results	No Results	No Results
14446	29174164	PTVV	NP - Corretiva de Homologação	#99 - Alfandegado - Controle Documental Cargas - Entrega 1	[2.9] [Presença de Carga] Lacre	"Na tela de inclusão de presença de carga, a combo de lacres já deve trazer o lacre preenchido se só houver 1 lacre disponível para seleção. Existindo mais de 1 lacre, manter o comportamento atual (combo para seleção)."	Implement Code	sybase; oracle; jenkins; hibernate; java; seam; jsf; jsf-1.2; richfaces; jpa; poi; jasperreport	combo; multi-selection	Seal	"In the load presence inclusion screen, the sealing combo should already bring the filled seal if there is only 1 seal available for selection. If there is more than 1 seal, maintain the current behavior (combo for selection)."	No Results	No Results	No Results
10831	29174164	PTVV	NP - Mudança de Requisito	#89 - Liberação Documental	"[Termo de Entrega] A combo de despachante deve exibir os usuários que tiverem perfil tanto de despachante quanto de cliente, mostrando primeiro os que tenham perfil de despachante."		Implement Code	sybase; oracle; jenkins; hibernate; java; seam; jsf; jsf-1.2; richfaces; jpa; poi; jasperreport	combo;	"The dispatcher combo should display users who have both dispatcher and customer profile, first showing those with dispatcher profile."		No Results	No Results	No Results
11607	25636091	PTVV	NP - Corretiva de Homologação	#91	[Enviar Pendencia] Exception ao enviar pendencia	"criou pedido com horario mandou special stow mandou appointment mandou bloqueio    - (""Sucesso no Envio de bloqueio Manual RFB para o Navis"") - cadeado mandou desbloqueio - (""Sucesso no Envio de desbloqueio Manual RFB para o Navis"") enviou pendencia   -  (sistema exibe mensagem de erro abaixo )"	Error	sybase; oracle; jenkins; hibernate; java; seam; jsf; jsf-1.2; richfaces; jpa; poi; jasperreport	detachedEntity	Exception when sending pending	"(""Success in sending Manual unlocking RFB to Navis"") - sent a lock - (""Success in sending manual lock RFB to Navis"") - sent displays error message below)"	150 results	No Results	No Results
4964	25636091	PTVV	ERRO	#80 - Manter Retirada Vazio Desovado	[Reprogramar] - Erro ao reprogramar mais de uma vez um pedido	"apos reprogramacao, tentar reprogramar novamente. provocando a excecao ""detached persist"""	Error	sybase; oracle; jenkins; hibernate; java; seam; jsf; jsf-1.2; richfaces; jpa; poi; jasperreport	detachedEntity	Error rescheduling an order more than once	"after reprogramming, try to reprogram again. causing the exception ""detached persist"""	1 result	No Results	No Results
19369	25996758	PTVV	ERRO	#114 - 2.10.13 - Remover Aprovação de Horário Recepção	[2.10.13] [Retirada Importação] Sistema quebra após enviar email na tela de detalhes	Ocorre erro de LazyInitializationException e o sistema quebra. Basta realizar a operação em um pedido retirada importação. O erro ocorreu em um pedido DI. Os testes foram feitos com o perfil adm_sistemas.	Error	sybase; oracle; jenkins; hibernate; java; seam; jsf; jsf-1.2; richfaces; jpa; poi; jasperreport	LazyInitializationException	System crashes after sending email on detail screen	LazyInitializationException error occurs and the system breaks. Simply perform the operation on a withdrawn import request. The error occurred in a DI request. The tests were done with the systems admission profile.	No Results	No Results	No Results
16575	25996758	PTVV	ERRO	#107 - Branch 2.10.6	[2.10.6] [Retirada Importação] [Reprogramar] - Erro ao reprogramar pedido importação	Ocorre LazyInitializationException ao reprogramar pedido retirada importação	Error	sybase; oracle; jenkins; hibernate; java; seam; jsf; jsf-1.2; richfaces; jpa; poi; jasperreport	LazyInitializationException	Error rescheduling import request	LazyInitializationException Occurs When Reschedule Order Implements Import	No Results	No Results	No Results
